talent|side|level|hero_id
350 AoE Mist Coil|L|25|abaddon
+65 Curse of Avernus Attack Speed Bonus|R|25|abaddon
100 Borrowed Time Immolation DPS|L|20|abaddon
+80 Aphotic Shield Barrier Amount|R|20|abaddon
+35 Mist Coil Heal/Damage|L|15|abaddon
+40 Curse of Avernus DPS|R|15|abaddon
Aphotic Shield provides +12 HP Regen|L|10|abaddon
+10% Withering Mist Heal Reduction|R|10|abaddon
+50 Chemical Rage Regeneration|L|25|alchemist
+50 Chemical Rage Movement Speed|R|25|alchemist
+400 Unstable Concoction Max Damage|L|20|alchemist
-0.1s Chemical Rage Base Attack Time|R|20|alchemist
+2 Damage per Greevil's Greed stack|L|15|alchemist
Acid Spray grants armor to allies|R|15|alchemist
+125 Unstable Concoction Radius|L|10|alchemist
+1 Acid Spray Armor Reduction|R|10|alchemist
+4% Ice Blast Kill Threshold|L|25|ancientapparition
+50% Death Rime Slow/Damage|R|25|ancientapparition
+80 Chilling Touch Damage|L|20|ancientapparition
+5s Ice Blast Frostbitten Duration|R|20|ancientapparition
+300 Cold Feet Breaking distance|L|15|ancientapparition
-2s Ice Vortex Cooldown|R|15|ancientapparition
+2 Cold Feet Death Rime Stacks|L|10|ancientapparition
+300 Chilling Touch Attack Range|R|10|ancientapparition
-50s Mana Void Cooldown|L|25|anti-mage
+200 Blink Cast Range|R|25|anti-mage
+0.7s Mana Void Stun|L|20|anti-mage
+0.2 Mana Void Damage Multiplier|R|20|anti-mage
+5%/15% Persecutor Min/Max Movement Slow|L|15|anti-mage
+1% Max Mana Mana Burn|R|15|anti-mage
+200 Mana Void Radius|L|10|anti-mage
+3 Health Regen|R|10|anti-mage
-1s Spark Wraith Activation Delay|L|25|arcwarden
Tempest Double Has No Penalties|R|25|arcwarden
-7s Magnetic Field Cooldown|L|20|arcwarden
+40% Spark Wraith Damage|R|20|arcwarden
+25 Magnetic Field Attack Speed|L|15|arcwarden
+20% Flux Slow|R|15|arcwarden
+200 Health|L|10|arcwarden
+200 Flux Cast Range|R|10|arcwarden
2x Battle Hunger Armor Multiplier|L|25|axe
+100 Berserker's Call AoE|R|25|axe
+25 Counter Helix Damage|L|20|axe
+100 Culling Blade Damage|R|20|axe
+10 Berserker's Call Armor|L|15|axe
+10% Battle Hunger Slow|R|15|axe
+10% Movement Speed per active Battle Hunger|L|10|axe
+3s Culling Blade Kill Buff Bonus Duration|R|10|axe
