asset_video|asset_icon|name|shard_scepter|description|info|modifiers|cooldown|mana|lore|hero_id
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/abaddon/abaddon_death_coil|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/abaddon_death_coil.png|MIST COIL||Abaddon releases a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of Abaddon's health.|ABILITY:Unit Target;AFFECTS:Heroes;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:Allies Yes Enemies No;|SELF DAMAGE:40%;SELF DAMAGE (ENEMY CAST):40%;DAMAGE/HEAL:80/150/220/290;|6.5/6/5.5/5|50/55/60/65|A mysterious vapor from the Font of Avernus now infuses the breath of Abaddon, who releases it at will.|abaddon
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/abaddon/abaddon_aphotic_shield|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/abaddon_aphotic_shield.png|APHOTIC SHIELD||Summons dark energies around an ally unit, dispelling them and creating an all damage barrier that absorbs a set amount of damage before expiring. When the barrier is destroyed it will burst and deal damage equal to the amount it could absorb to an area around it.<br><br>DISPEL TYPE: Strong Dispel|ABILITY:Unit Target;AFFECTS:Allied Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|DURATION:12;BURST RADIUS:675;DAMAGE BARRIER:120/150/180/210;RETURN DAMAGE RADIUS:0;|12/10/8/6|110/120/130/140|The powers of the black mist rise to absorb attacks like the black mist absorbs light.|abaddon
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/abaddon/abaddon_borrowed_time|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/abaddon_borrowed_time.png|BORROWED TIME||When activated, dispels you and all damage dealt to you will heal instead of harm. If the ability is not on cooldown, it will automatically activate if your health falls below 400.<br><br>DISPEL TYPE: Strong Dispel|ABILITY:No Target;DISPELLABLE:No;|HEALTH THRESHOLD:400;DURATION:4/5/6;DAMAGE THRESHOLD:0;|90/80/70|0/0/0|The most unnatural of all the gifts of the Font of Avernus, this power defies mortal understanding. What should hurt, instead heals; and what should kill gives strength anew.|abaddon
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/abaddon/abaddon_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/abaddon_aphotic_shield.png|APHOTIC SHIELD|SHARD ABILITY UPGRADE|75% of absorbed damage is dealt to nearby enemies.||||||abaddon
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/abaddon/abaddon_aghanims_scepter|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/abaddon_borrowed_time.png|BORROWED TIME|SCEPTER ABILITY UPGRADE|Increases duration. While Borrowed Time is active, anytime an ally takes more than 550 damage while within Mist Coil's cast range of Abaddon, an individual Mist Coil will automatically fire towards that ally.|||90/80/70|0/0/0|The most unnatural of all the gifts of the Font of Avernus, this power defies mortal understanding. What should hurt, instead heals; and what should kill gives strength anew.|abaddon
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/alchemist/alchemist_acid_spray|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/alchemist_acid_spray.png|ACID SPRAY||Sprays high-pressure acid across a target area. Enemy units who step across the contaminated terrain take damage per second and have their armor reduced.|ABILITY:Point Target;DAMAGE TYPE:Physical;PIERCES SPELL IMMUNITY:No;|RADIUS:350/400/450/500;DURATION:15;DAMAGE PER SECOND:25/30/35/40;ARMOR REDUCTION:3/4/5/6;|22/21/20/19|105/110/115/120|Using traditional Alchemy from the Darkbrew family, Razzil concocts an acid that dissolves even the toughest metals.|alchemist
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/alchemist/alchemist_unstable_concoction|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/alchemist_unstable_concoction.png|UNSTABLE CONCOCTION||Alchemist brews up an unstable concoction that he can throw at an enemy hero, to stun and deal damage in an area around the explosion. The longer the concoction brews, the more damage it deals and the longer the stun. Alchemist is faster while charging the concoction. After 5 seconds, the brew reaches its maximum damage and stun time. However, after 5.5 seconds, the concoction will explode on Alchemist himself if not thrown.|ABILITY:No Target;DAMAGE TYPE:Physical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Only Strong Dispels;|MAX STUN:1.7/2.2/2.7/3.2;MAX DAMAGE:150/220/290/360;EXPLOSION RADIUS:250;MOVE SPEED BONUS:4%/8%/12%/16%;|17|100|A silver lining to the failure of turning a mountain into gold, this volatile solution has destructive potential.|alchemist
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/alchemist/alchemist_chemical_rage|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/alchemist_chemical_rage.png|CHEMICAL RAGE||Alchemist causes his Ogre to enter a chemically induced rage, reducing base attack cooldown and increasing movement speed and health regeneration.<br><br>DISPEL TYPE: Basic Dispel|ABILITY:No Target;DISPELLABLE:No;|DURATION:30;BASE ATTACK TIME:1.2/1.1/1;BONUS HEALTH REGEN:60/90/120;BONUS MOVE SPEED:20/30/40;|60|50/75/100|The brew Razzil gave to the Ogre during their prison bust has become a useful potion in the midst of combat.|alchemist
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/alchemist/alchemist_aghanims_shard|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/alchemist_berserk_potion.png|BERSERK POTION|SHARD GRANTS NEW ABILITY|Alchemist throws a potion at an ally, applying a basic dispel and giving them attack speed, movement speed and HP regen.<br><br>DISPEL TYPE: Basic Dispel|ABILITY:Unit Target;AFFECTS:Allied Units;PIERCES SPELL IMMUNITY:Yes;DISPELLABLE:Yes;|DURATION:15;ATTACK SPEED:50;HP REGEN:40;MOVE SPEED:30;|35|100|After Razzil's great grandfather tested an early version of this potion on himself, a surviving family member immediately saw the profit potential.|alchemist
https://cdn.steamstatic.com/apps/dota2/videos/dota_react/abilities/ancient_apparition/ancient_apparition_cold_feet|https://cdn.steamstatic.com/apps/dota2/images/dota_react/abilities/ancient_apparition_cold_feet.png|COLD FEET||Places Death Rime Stacks on an enemy that can be dispelled by moving away from the initial cast point. If the enemy unit doesn't move outside of the given range, it will be stunned and frozen in place after 4 seconds.|ABILITY:Unit Target;AFFECTS:Enemy Units;DAMAGE TYPE:Magical;PIERCES SPELL IMMUNITY:No;DISPELLABLE:Yes;|DEATH RIME STACKS:2/4/6/8;BREAK DISTANCE:725/750/775/800;STUN DURATION:1.8/2.2/2.6/3;|15/13/11/9|110/115/120/125|Kaldr's presence draws those around him into a frozen void, threatening to lock them in an icy prison for eternity.|ancientapparition
