name|description|is_pasive|hero_id
Withering Mist|Damaging enemies applies the Withering Mist debuff for 5s. Affected enemies have their HP regeneration, healing, lifesteal and Spell lifesteal reduced by 35% if they are below 40% HP.|True|abaddon
Greevil's Greed|Alchemist synthesizes additional gold from his enemies and bounty runes. With each kill, Alchemist earns base bonus gold and extra bonus gold. If Alchemist kills another unit which yields gold within the next 40 seconds, an additional instance of Extra Bonus Gold is added to the total. Additionally, causes bounty runes to yield more gold.|True|alchemist
Death Rime|Ancient Apparition's abilities apply Death Rime Stacks on enemies. Death Rime slows enemies' movement speed and deals damage over time.|True|ancientapparition
Persecutor|Attacks slow enemies based on how much mana they are missing. Min slow at 50% mana, up to max slow at %zero_tooltip%% mana. No effect if enemy is above 50% mana.|True|anti-mage
Runic Infusion|Upon activating any rune, gain the Regeneration Rune buff for 4s.|True|arcwarden
Coat of Blood|Axe permanently drenches his blade every time he kills an enemy Hero, gaining 0.2 bonus armor for each stack. Killing with Culling Blade gives 3x stacks.|True|axe
Ichor of Nyctasha|Bane's attribute gains are always evenly distributed across all three attributes (items that grant +3 Strength will now grant +1 Str/Agi/Int).|True|bane
Smoldering Resin|Batrider's attacks apply a debuff that deals 20% of the attack damage every 1s for 2s.|True|batrider
Rugged|Beastmaster's melee hero Damage Block Chance is increased from 50% to 100% versus non-hero units.|True|beastmaster
Sanguivore|Bloodseeker restores some life when he kills a unit, equal to 1.5% of the units max health per Bloodseeker's Level plus a base of 25.|True|bloodseeker
Big Game Hunter|When getting a kill or assist on an enemy that has a killing streak, Bounty Hunter receives 20% extra gold.|True|bountyhunter
Belligerent|Brewmaster gains 25% bonus attack damage for 15s when he comes out of Primal Split and for 45s when he respawns.|True|brewmaster
Prickly|Bristleback has 10% damage and debuff duration amp against enemy heroes that are behind him.|True|bristleback
Spider's Milk|Whenever Broodmother kills a unit, she and all units under her control in a 600 radius receive a buff that heals them for a percentage of the victims health every 0.5 seconds. Healing from creeps is reduced by 40%.|True|broodmother
Rawhide|Permanently gain 30 max health every 120s.|True|centaurwarrunner
Reins of Chaos|Whenever illusions of Chaos Knight are created, there is a 50% chance that an additional 1 extra illusion will spawn.|True|chaosknight
Summon Convert|Chen summons a convert to fight for him. The convert gains bonuses from Holy Persuasion and dies if Chen dies. Its maximum health is set to 220 + 80 per Chen Level. The spell stays on cooldown while the convert is alive, but refreshes whenever Chen respawns. The Convert counts towards Holy Persuasion max unit count. The Convert's ability level increases with Chen's level of Holy Persuasion. Chen summons a convert to fight for him. The convert gains bonuses from Holy Persuasion and dies if Chen dies. Its maximum health is set to 220 + 80 per Chen Level. The spell stays on cooldown while the convert is alive, but refreshes whenever Chen respawns. The Convert counts towards Holy Persuasion max unit count. The Convert's ability level increases with Chen's level of Holy Persuasion.|False|chen
Bone and Arrow|Clinkz summons a Skeleton Archer when he dies. Skeleton Archers are immobile and die within multiple attacks from a hero. Skeleton Archers deal a percentage of Clinkz' damage, and deal less damage to buildings. Attack range is equal to Clinkz' attack range.|True|clinkz
Armor Power|Clockwerk's outgoing damage increases by 0.25% per point of armor.|True|clockwerk
Blueheart Floe|Crystal Maiden has 25% Mana Regeneration Amplification.|True|crystalmaiden
Aggrandize|When Dark Seer levels up, he restores a percentage of his max health and mana. Restore percentage is equal to 10% + 1.5% per hero level.|True|darkseer
Pixie Dust|Whenever a skill makes Dark Willow become untargetable, she gains 100% HP Regen and 100% Mana Regen while in that state.|True|darkwillow
Break of Dawn|Whenever the sun comes out, Dawnbreaker reveals the whole map to allies for 4 seconds.|True|dawnbreaker
Weave|Dazzle's abilities apply Weave to both allies and enemies they affect, increasing allied armor and reducing enemy armor. Multiple instances of this effect stack.|True|dazzle
Witchcraft|Death Prophet's occult knowledge deepens with experience, gaining 0.5% movement speed per level, and 0.75% spell cooldown reduction per level.|True|deathprophet
Electromagnetic Repulsion|Whenever Disruptor takes more than 250 damage from any source within 400 radius, all nearby enemies within are pushed back up to a 400 unit distance.|True|disruptor
Lvl ? Pain|Doom's attacks deal 25% bonus damage to heroes whose level is lower than Doom's level.|True|doom
Dragon Blood|The life blood of the Dragon improves Dragon Knight's health regeneration and armor. Amount for both values is increased by 0.5 per level and is multiplied when in Dragon Form.|True|dragonknight
Precision Aura|Grants Drow bonus agility based on Drow's current agility and level. Nearby ranged heroes received 50% of the bonus agility.|True|drowranger
Stone Remnant|Call a Stone Remnant to the target location. Stone Remnants have no vision and are invulnerable, and can be used with Earth Spirit's abilities. Calling a Stone Remnant consumes a charge, which recharge over time. Gains additional charges every 5 hero levels. Call a Stone Remnant to the target location. Stone Remnants have no vision and are invulnerable, and can be used with Earth Spirit's abilities. Calling a Stone Remnant consumes a charge, which recharge over time. Gains additional charges every 5 hero levels.|False|earthspirit
Spirit Cairn|When Earthshaker dies, a 75 radius fissure is created where he died. This fissure blocks movement and allows Earthshaker to continue to gain experience around it. It remains until Earthshaker respawns.|True|earthshaker
Tip the Scales|Allied creeps and buildings affected by Glyph of Fortification or Roshan's Banner deal 100% bonus damage.|True|eldertitan
Immolation|Ember Spirit is continuously burning, dealing damage per second to all nearby enemies at all times.|True|emberspirit
Rabble-Rouser|All neutral camps deal more damage to enemy heroes. Damage increase is 10% + 4% per Enchantress's hero level.|True|enchantress
Gravity Well|Allies within 500 distance from Enigma have up to 9% Damage Reduction. Effect starts at 0% at max distance and increases to its maximum strength when the ally is at 200 distance. Does not affect Enigma itself.|True|enigma
Distortion Field|Enemy Attack Projectiles within 600 radius are slowed by 35%.|True|facelessvoid
Ink Trail|Adds an effect to Grimstroke's attacks that causes enemy heroes to leave a trail of ink behind them for 4s.|True|grimstroke
Chop Shop|Gyrocopter can disassemble most items.|True|gyrocopter
Mistwoods Wayfarer|Hoodwink has a chance to redirect enemy attacks to a nearby tree.|True|hoodwink
Blood Magic|Huskar does not have mana. Mana costs of items are converted into health costs.|True|huskar
Invoke|Combines the properties of the elements currently being manipulated to create a new spell for Invoker to use. Invoke cooldown is reduced by 0.3 seconds for each orb level.  Click the help button to see the list of possible spells. Combines the properties of the elements currently being manipulated to create a new spell for Invoker to use. Invoke cooldown is reduced by 0.3 seconds for each orb level.  Click the help button to see the list of possible spells.|False|invoker
Sight Seer|Io's Team takes 1s less to take watchers, and their watchers have 300 bonus vision.|True|io
Double Trouble|Jakiro's attacks launch an attack from each head, but deal less damage each.|True|jakiro
Duelist|Juggernaut deals 12% more damage to targets that are facing him. Damage bonus always applies during Omnislash.|True|juggernaut
Special Reserve|Keeper of the Light cannot go below 75 mana.|True|keeperofthelight
Switch Discipline|Kez switches between his Kazurai Katana and Shodo Sai. He gains different attack capabilities and abilities based on the weapon equipped. The abilities level up together, and when an ability is used, the associated alternate weapon ability also goes on cooldown. Switch Discipline cooldown decreases by 0.2s per Hero level. Kez switches between his Kazurai Katana and Shodo Sai. He gains different attack capabilities and abilities based on the weapon equipped. The abilities level up together, and when an ability is used, the associated alternate weapon ability also goes on cooldown. Switch Discipline cooldown decreases by 0.2s per Hero level.|False|kez
Admiral's Rum|Damage from enemy heroes, buildings, or Roshan that would reduce Kunkka below a threshold causes him to douse himself with The Admiral's Rum, receiving bonus movement speed and a delayed reaction to incoming damage.|True|kunkka
Outfight Them!|Attacking an enemy hero that is higher level than you increases your HP regeneration, lifesteal, and incoming heals by 50% for 4s.|True|legioncommander
Defilement|Leshrac gains AoE per intelligence.|True|leshrac
Death Charge|Lich cannot gain passive mana regeneration, but any unit dying within 1500 range of Lich restores 2.5% of his Max Mana (Dying heroes restore 15% of Lich's Max Mana). Instant mana restoration from items and abilities apply to Lich as normal.|True|lich
Feast|Lifestealer's attacks deal damage and provide heal for a percentage of his target's max health. Allows Lifestealer to attack allied creeps at 75% health. Lifestealer gains permanent max HP whenever he kills a creep or hero.|True|lifestealer
Combustion|Every 175 damage Lina does to an enemy hero causes them to overheat, doing damage to their nearby allies. This effect can trigger multiple times off a single instance of damage. Overheated illusions do less damage.|True|lina
To Hell and Back|Lion gains 20% debuff duration and 20% spell amplification for 90s after respawning.|True|lion
Gift Bearer|Lone Druid's Spirit Bear receives a copy of his Neutral Item that has an independent cooldown.|True|lonedruid
Lunar Blessing|Grants 1 attack damage per level to Luna and nearby allied heroes, with Luna receiving double the attack damage bonuses. At night, Lunar Blessing is global, and Luna is blessed with 250 bonus night vision + 25 per level.|True|luna
Apex Predator|Lycan and units he controls deal 2% extra damage to neutral creeps per hero level.|True|lycan
Solid Core|Magnus has slow resistance and suffers 50% less knockback from enemy's abilities and items.|True|magnus
Special Delivery|Marci whistles to instantly summon her courier to her. Passively grants all allied couriers 3 bonus levels and 1 bonus health. Marci whistles to instantly summon her courier to her. Passively grants all allied couriers 3 bonus levels and 1 bonus health.|False|marci
Dauntless|Mars gets more HP Regen the more he and his allies are outnumbered by enemy heroes in 900 radius.|True|mars
Mana Shield|Creates a shield that absorbs 98% of incoming damage in exchange for Medusa's mana that increases with each level of Medusa. Illusions absorb 60% less damage per point of mana.|True|medusa
Sticky Fingers|Has an extra choice of neutral item to select from.|True|meepo
Selemene's Faithful|Healing Lotuses are 50% more effective on Mirana and her allies.|True|mirana
Mischief|Changes Monkey King's shape to deceive opponents, using the environment nearby as inspiration for the disguise. Taking damage, attacking, or using any item or ability breaks Monkey King's disguise. Grants damage immunity for 0.1 seconds upon transforming. Changes Monkey King's shape to deceive opponents, using the environment nearby as inspiration for the disguise. Taking damage, attacking, or using any item or ability breaks Monkey King's disguise. Grants damage immunity for 0.1 seconds upon transforming.|False|monkeyking
Accumulation|Morphling receives 50% of stat growth bonuses every half level instead of the full bonus at level up. All Attributes bonuses from skill points in the Talent Tree provide an additional +3 to Morphling's primary attribute.|True|morphling
